Model,Accuracy,Precision,Recall,Specificity,F1 Score,ROC-AUC,Log Loss
ANN,0.9646271510516252,0.9146341463414634,0.970873786407767,0.9620081411126187,0.9419152276295133,0.9973038602222778,0.07357368892729221
Random Forest,0.9579349904397706,0.8840579710144928,0.9870550161812298,0.9457259158751696,0.9327217125382263,0.9956681728164122,0.12383939162704419
SVM (RBF),0.9216061185468452,0.7979002624671916,0.9838187702265372,0.8955223880597015,0.881159420289855,0.9897292004233027,0.16319524939350982
Logistic Regression,0.9091778202676865,0.7702020202020202,0.9870550161812298,0.8765264586160109,0.8652482269503546,0.9748521294674026,0.25336811219623334
SVM (Linear),0.9196940726577438,0.7862595419847328,1.0,0.8860244233378561,0.8803418803418803,0.9727136602951703,0.29601319840091683
LDA,0.8604206500956023,0.6791208791208792,1.0,0.8018995929443691,0.8089005235602095,0.9711240795141679,0.32299344601409696
Naive Bayes,0.890057361376673,0.7342995169082126,0.9838187702265372,0.8507462686567164,0.8409405255878285,0.9638260594643727,0.32815905007879104
KNN,0.875717017208413,0.7136038186157518,0.9676375404530745,0.8371777476255088,0.8214285714285714,0.9568090702708875,1.1474568288680442
Decision Tree,0.9455066921606119,0.8705882352941177,0.9579288025889967,0.9402985074626866,0.9121725731895224,0.951170888716172,1.9002470667050393
